timestamp [ms],,temperature [C],pressure [Pa], altitude [m] ,pm2_5 [microg/m3],pm10_0 [microg/m3]
2530809,2530.809,14.75,87097.77,1258.18,16,20
2530835,2530.835,14.74,87098.24,1258.14,16,20
2530861,2530.861,14.74,87096.54,1258.3,16,20
2530887,2530.887,14.74,87097.46,1258.21,16,20
2530913,2530.913,14.74,87097.66,1258.19,16,20
2530939,2530.939,14.75,87097.27,1258.23,16,20
2530965,2530.965,14.75,87095.27,1258.42,16,20
2530991,2530.991,14.75,87093.32,1258.6,16,20
2531017,2531.017,14.75,87096.07,1258.34,16,20
2531043,2531.043,14.75,87093.32,1258.6,16,20
2531069,2531.069,14.75,87095.45,1258.4,16,20
2531095,2531.095,14.75,87092.5,1258.68,16,20
2531121,2531.121,14.75,87095.54,1258.39,16,20
2531147,2531.147,14.75,87090.45,1258.87,16,20
2531173,2531.173,14.75,87092.62,1258.67,16,20
2531199,2531.199,14.75,87091.38,1258.78,16,20
2531225,2531.225,14.75,87094.91,1258.45,16,20
2531251,2531.251,14.75,87094.59,1258.48,16,20
2531277,2531.277,14.75,87092.84,1258.65,16,20
2531303,2531.303,14.75,87093.44,1258.59,16,20
2531329,2531.329,14.75,87092.82,1258.65,16,20
2531355,2531.355,14.75,87094.09,1258.53,15,19
2531381,2531.381,14.75,87093.2,1258.61,15,19
2531407,2531.407,14.75,87093.77,1258.56,15,19
2531433,2531.433,14.75,87094.46,1258.49,15,19
2531459,2531.459,14.75,87091.26,1258.8,15,19
2531485,2531.485,14.75,87095.21,1258.42,15,19
2531511,2531.511,14.75,87095.9,1258.36,15,19
2531536,2531.536,14.75,87096.33,1258.32,15,19
2531562,2531.562,14.75,87096.98,1258.26,15,19
2531588,2531.588,14.75,87095.53,1258.39,15,19
2531614,2531.614,14.75,87095.21,1258.42,15,19
2531640,2531.64,14.75,87095.06,1258.44,15,19
2531666,2531.666,14.75,87095.52,1258.39,15,19
2531692,2531.692,14.75,87099.05,1258.06,15,19
2531718,2531.718,14.75,87092.84,1258.65,15,19
2531758,2531.758,14.75,87097.27,1258.23,15,19
2531779,2531.779,14.75,87093.12,1258.62,15,19
2531804,2531.804,14.75,87095.9,1258.36,15,19
2531830,2531.83,14.75,87094.16,1258.52,15,19
2531856,2531.856,14.75,87095.97,1258.35,15,19
